ID,Base_salary,predictions
1,107000,126702.38
2,157000,190450.74
3,240000,194309.3
4,155000,179175.36
5,165000,166751.39
6,162000,164046.58
7,145000,145187.61
8,190000,148716.89
9,252000,176719.91
10,160000,178019.63
11,120000,125492.32
12,120000,115335.2
13,107000,111849.77
14,160000,176580.9
15,107000,136686.56
16,148000,170435.46
17,210000,191046.82
18,134000,155662.27
19,105000,53621.32
20,145000,155633.54
21,131000,127200.21
22,147000,134198.94
23,145000,152762.72
24,137000,154198.02
25,116000,129641.4
26,190000,203989.09
27,159000,137522.15
28,2e+05,159181.89
29,160000,162521.78
30,48000,61245.13
31,138000,168650.95
32,130000,127096.03
33,190000,158771.87
34,78000,81318.28
35,190000,196586.04
36,2e+05,164434.03
37,140000,146460.64
38,85000,136701.59
39,2e+05,174563.7
40,145000,147832.53
41,145000,158176.4
42,185000,168394.71
43,144000,160759.45
44,140000,160241.4
45,118000,115754.93
46,116000,115754.93
47,115000,137254.1
48,193000,191956.66
49,136000,181587.14
50,120000,158906.25
51,155000,174563.7
52,150000,133032.01
53,250000,208260.86
54,129000,120841.5
55,127000,133969.02
56,120000,115754.93
57,220000,183464.14
58,115000,130996.68
59,120000,127747.16
60,156000,152006.73
61,203000,164663.71
62,130000,111711.33
63,165000,182142.95
64,138000,145108.79
65,180000,165177.71
66,109000,116587.14
67,145000,162521.78
68,110000,160479.98
69,176000,189292.89
70,125000,125170.2
71,106000,114551.9
72,130000,147695.41
73,110000,108005.85
74,225000,221748.72
75,144000,144485.87
76,120000,121999.86
77,133000,167213.07
78,151000,165299.03
79,108000,166908.58
80,155000,166544.51
81,80000,107934.09
82,40000,48494.65
83,120000,125988.25
84,76000,90915.75
85,105000,105985.28
86,150000,182478.86
87,160000,169828.07
88,165000,110711.02
89,160000,165694.24
90,140000,136067.04
91,150000,139627.55
92,153000,146312.88
93,155000,188341.39
94,49000,42220.51
95,195000,214489.95
96,160000,148755.08
97,180000,133600.91
98,135000,139627.55
99,130000,191496.63
100,190000,203232.8
101,155000,148291.91
102,120000,119833.82
103,115000,150356.29
104,182000,174357.72
105,159000,147352.05
106,150000,164308.64
107,175000,133969.02
108,180000,151572.39
109,145000,160479.98
110,210000,202848.37
111,198000,187140.07
112,160000,177819.44
113,130000,136556.08
114,98000,131669.84
115,115000,139627.55
116,210000,208167.4
117,134000,127747.16
118,180000,157439.95
119,170000,177144.15
120,165000,154745.5
121,131000,138393.72
122,130000,131507.32
123,115000,139278.14
124,135000,157330.05
125,116000,129941.19
126,235000,226808.84
127,150000,160440.28
128,111000,115754.93
129,270000,260037.3
130,155000,163836.19
131,156000,145841.73
132,166000,180573.92
133,110000,113323.39
134,105000,131669.84
135,160000,166987.73
136,160000,157530.81
137,180000,95193.43
138,195000,175387.26
139,30000,59942.28
140,160000,179190.86
141,170000,173513.53
142,177000,189794.17
143,148000,140465.3
144,225000,175576.13
145,165000,136987.65
146,139000,136369.04
147,145000,144485.87
148,85000,82970.84
149,124000,117680.08
150,120000,140465.3
151,205000,211400.74
152,165000,178919.89
153,127000,127747.16
154,185000,166411.97
155,140000,183343.89
156,160000,200268.53
157,170000,148555.93
158,160000,211469.11
159,111000,118408.55
160,130000,179961.88
161,110000,127412.54
162,103000,147011.39
163,2e+05,192147.51
164,105000,114551.9
165,156000,165834.85
166,20000,102908.47
167,125000,140698.6
168,120000,134716.12
169,171000,178509.56
170,192000,165542.39
171,180000,182779.78
172,65000,88203.46
173,155000,149741.37
174,136000,111947.73
175,208000,171039.8
176,168000,204813.82
177,193000,179374.35
178,110000,123948.92
179,113000,123338.97
180,128000,81877.21
181,145000,161609.4
182,230000,168550.39
183,210000,185313.36
184,70000,59253.18
185,165000,181664.11
186,145000,183801.25
187,185000,189554.99
188,135000,125536.13
189,116000,124707.54
190,16000,52963.86
191,120000,127498.83
192,175000,137777.92
193,108000,112030.06
194,140000,138728.4
195,150000,152066.3
196,135000,127747.16
197,156000,165597.91
198,1e+05,101499.29
199,175000,186991.19
200,120000,114770.63
201,205000,199223.98
202,158000,179361.44
203,115000,127412.54
204,145000,197122.92
205,140000,149745.48
206,120000,132045.11
207,120000,159359.3
208,108000,113682.41
209,210000,194645.44
210,107000,142771.96
211,155000,183506.26
212,140000,158038.17
213,90000,95115.51
214,180000,194405.39
215,250000,209264.03
216,29000,43729.87
217,2e+05,163836.19
218,115000,160282.5
219,232000,266590.68
220,120000,129641.4
221,109000,122965.88
222,160000,156350.84
223,118000,134920.44
224,160000,158906.25
225,120000,102268.59
226,160000,144277.72
227,153000,162030.89
228,180000,208073.54
229,165000,156499.84
230,240000,213149.77
231,240000,198008.7
232,190000,207633.12
233,213000,196973.05
234,116000,114551.9
235,183000,206729.79
236,227000,184348.12
237,220000,169521.67
238,95000,100010.97
239,168000,212403.15
240,150000,158815.11
241,202000,174981.4
242,160000,177819.44
243,135000,167074.89
244,135000,119833.82
245,20000,35352.15
246,150000,145803.25
247,156000,199003.76
248,275000,246757.17
249,260000,256723.99
250,140000,120144.01
251,154000,207330.47
252,125000,124935.62
253,176000,179730.93
254,2e+05,211796.48
255,132000,118408.55
256,135000,127748.61
257,175000,147948.86
258,2e+05,206429.73
259,145000,157086.47
260,160000,211113.86
261,190000,211271.51
262,148000,162238.14
263,140000,145015.13
264,430000,280772.55
265,190000,120806.67
266,218000,170427.78
267,130000,140698.6
268,170000,182236.8
269,80000,88260.44
270,180000,163078.23
271,135000,150374.53
272,181000,168222.82
273,130000,125497.5
274,140000,124707.54
275,245000,266126.73
276,140000,197122.92
277,95000,100010.97
278,113000,141583.85
279,136000,143155.73
280,180000,175123.54
281,140000,130644.6
282,163000,160526.87
283,115000,125449.82
284,210000,194915.75
285,160000,162499.23
286,230000,214893.2
287,124000,184759.12
288,138000,141229.53
289,140000,76767.97
290,172000,179961.88
291,164000,182927.55
292,150000,179961.88
293,97000,81878.42
294,178000,172763.86
295,190000,172435.92
296,225000,184377.7
297,180000,190081.57
298,135000,157530.81
299,135000,125267.93
300,176000,157123.05
301,160000,168653.93
302,114000,116587.14
303,1e+05,117010.83
304,165000,161109.22
305,120000,127898.73
306,160000,157262.62
307,185000,172435.92
308,170000,196964.08
309,153000,173239.5
310,82000,132225.75
311,98000,132525.29
312,165000,177189.02
313,140000,131689.41
314,170000,154994.26
315,150000,138592.99
316,170000,140364.22
317,140000,154264.36
318,149000,154264.36
319,155000,161607.58
320,160000,160506.61
321,170000,181185.58
322,160000,184826.14
323,105000,118408.55
324,2e+05,181368.6
325,190000,157302.74
326,230000,194771.66
327,120000,134015.42
328,140000,136369.04
329,195000,204786.55
330,110000,123948.92
331,167000,166828.68
332,183000,171810.06
333,129000,139052.9
334,460000,345427.79
335,130000,127412.54
336,185000,143143.39
337,160000,162432.7
338,161000,163961.17
339,145000,172435.92
340,116000,104469.15
341,128000,113893.04
342,180000,248869.57
343,108000,111711.33
344,160000,180903.44
345,120000,127412.54
346,90000,52995.45
347,123000,111822.1
348,195000,177819.44
349,221000,214194.59
350,250000,228519.98
351,190000,165390.46
352,108000,159065.75
353,160000,160241.4
354,150000,146974.05
355,129000,156042.71
356,190000,180903.44
357,151000,153689.88
358,194000,168835.39
359,224000,206341.81
360,86000,97450.72
361,59000,69376.54
362,210000,180103.75
363,144000,160398.72
364,190000,210435.93
365,2e+05,208008.7
366,2e+05,208008.7
367,157000,151065.57
368,105000,127498.83
369,155000,170218.44
370,171000,157099.18
371,175000,174341.02
372,175000,169605.59
373,1e+05,99080.57
374,115000,121218.5
375,150000,148448.23
376,150000,173115.57
377,97000,117307.01
378,115000,103360.87
379,143000,147352.05
380,2e+05,198482.02
381,180000,165865.44
382,140000,126434.05
383,155000,143692.47
384,135000,167988.31
385,175000,177200.18
386,110000,105570.8
387,146000,138028
388,120000,139627.55
389,182000,155827.82
390,120000,140207.36
391,148000,127867.91
392,1e+05,61838.81
393,105000,139999.02
394,125000,145778.31
395,145000,159159.07
396,20000,39346.75
397,150000,149741.37
398,119000,142109.11
399,152000,162485.53
400,250000,192441.01
401,110000,140937.06
402,152000,141816.04
403,230000,146583.97
404,120000,124010.56
405,185000,159207.66
406,130000,133367.37
407,180000,198283.57
408,146000,143531.06
409,160000,170427.78
410,174000,175979.03
411,255000,224278.65
412,135000,166523.5
413,10000,51735.33
414,140000,189303.76
415,150000,166411.97
416,140000,127422.47
417,124000,129151.1
418,150000,132341.69
419,160000,154640.04
420,135000,149144.86
421,225000,179525.89
422,90000,91347.27
423,102000,162726.3
424,155000,187318.34
425,107000,134920.44
426,109000,114551.9
427,140000,136985.43
428,165000,155581.83
429,121000,156042.71
430,135000,132303.38
431,79000,108202.04
432,90000,91283.52
433,128000,140698.6
434,125000,119833.82
435,2e+05,207912.9
436,90000,91350.63
437,123000,109232.92
438,146000,137937.81
439,2e+05,191147.09
440,165000,134194.91
441,143000,143294.15
442,150000,165945.13
443,215000,165124.03
444,161000,152807.92
445,121000,147352.05
446,208000,175783.86
447,155000,129065.27
448,175000,173383.53
449,110000,136272.04
450,125000,141133.17
451,141000,138850.4
452,115000,102675.22
453,148000,160356.26
454,157000,178137.77
455,160000,161359.6
456,145000,138850.4
457,120000,118408.55
458,142000,151126.36
459,103000,166007.87
460,145000,140207.36
461,145000,190310.81
462,160000,160667.06
463,1e+05,143004.07
464,157000,153689.88
465,170000,152981.85
466,150000,131953.08
467,127000,171098.6
468,137000,149741.37
469,1e+05,98840.16
470,2e+05,217627.44
471,170000,198980.34
472,154000,172435.92
473,150000,165918.25
474,180000,147352.05
475,124000,145213.94
476,190000,178271.19
477,110000,125492.32
478,225000,204321.69
479,120000,150689.83
480,108000,92753.78
481,203000,214489.95
482,120000,125045.12
483,205000,218628.24
484,160000,151280.79
485,203000,174563.7
486,190000,202075.78
487,140000,145007.79
488,102000,105236.96
489,125000,154859.79
490,160000,160526.87
491,180000,198283.57
492,175000,170218.44
493,123000,148480.24
494,177000,196853.55
495,185000,157123.05
496,190000,155827.82
497,170000,191104.89
498,68000,87383.12
499,160000,148580.43
500,192000,181257.84
501,120000,127412.54
502,95000,126158.39
503,215000,171770.67
504,130000,124935.62
505,112000,90597.3
506,160000,168057.78
507,110000,138317.89
508,127000,133991.18
509,195000,207556.96
510,143000,167708.75
511,150000,197510.35
512,145000,140364.22
513,167000,162238.14
514,131000,141927.5
515,152000,152660.38
516,145000,138393.72
517,230000,217657.87
518,150000,153548.47
519,1e+05,152809.08
520,135000,156042.71
521,120000,131099.64
522,144000,144913.36
523,194000,172627.48
524,120000,139591.66
525,155000,141229.53
526,158000,169696.19
527,2e+05,174983.77
528,145000,147130.28
529,182000,188490.52
530,176000,181994.92
531,110000,102325.74
532,126000,195180.65
533,140000,139627.55
534,151000,132804.88
535,170000,188296.38
536,75000,95003.01
537,125000,142479.76
538,159000,144834.63
539,155000,161106.25
540,122000,153689.88
541,250000,171433.55
542,152000,130567.82
543,145000,153301.29
544,180000,168038.58
545,145000,163249.15
546,140000,152801.3
547,145000,146974.05
548,155000,160356.26
549,132000,156509.46
550,130000,162212.73
551,160000,159159.07
552,123000,137777.92
553,150000,194760.15
554,108000,111711.33
555,107000,106959.75
556,167000,169394.34
557,186000,203234.37
558,92000,135560.53
559,128000,132046.97
560,132000,138728.07
561,183000,167335.19
562,115000,127827.11
563,134000,138393.72
564,220000,212080.81
565,1e+05,81699.09
566,206000,167914.9
567,150000,170292.19
568,168000,159048.64
569,107000,114551.9
570,150000,136737.65
571,117000,124756.18
572,152000,157484.35
573,130000,121577.5
574,158000,196806.2
575,205000,191355.85
576,174000,167350.83
577,147000,150370.87
578,137000,191856.89
579,210000,114256.15
580,170000,160356.26
581,125000,157830.81
582,210000,180797.17
583,92000,132322.49
584,145000,163836.19
585,147000,165478.67
586,205000,179374.35
587,250000,112347.04
588,120000,146311.94
589,180000,195922.99
590,115000,125267.93
591,126000,114551.9
592,168000,169324.25
593,2e+05,197921.63
594,125000,167603.94
595,185000,138915.67
596,220000,197923.93
597,92000,112898.7
598,142000,193476.37
599,106000,134597.03
600,220000,184359.23
601,210000,172428.21
602,140000,133808.24
603,129000,145015.13
604,123000,141269.14
605,150000,136195.9
606,192000,154854.3
607,151000,143141.03
608,150000,171469.52
609,175000,190889.29
610,170000,159385.13
611,145000,204230.55
612,195000,221374.98
613,120000,185125.32
614,215000,157915.87
615,193000,149046.94
616,2e+05,224376.94
617,150000,170218.44
618,123000,161706.27
619,2e+05,180691.14
620,153000,186947.66
621,155000,127412.54
622,94000,92435.79
623,145000,154080.82
624,156000,155058.87
625,250000,198370.14
626,150000,166834.32
627,150000,183464.17
628,198000,220722.33
629,215000,189274.7
630,160000,140364.22
631,152000,150558.89
632,117000,122585.6
633,109000,115754.93
634,121000,127748.61
635,171000,183510.33
636,95000,102635.6
637,120000,76767.97
638,114000,158923.74
639,170000,170492.53
640,101000,100421.08
641,116000,127412.54
642,130000,139627.55
643,130000,127412.54
644,145000,159455.56
645,186000,154045.16
646,170000,140698.6
647,205000,190297.23
648,130000,140263.15
649,124000,138896.53
650,120000,116587.14
651,170000,203692.1
652,98000,108202.04
653,190000,203893.24
654,126000,133015.23
655,185000,158093.91
656,180000,201828.14
657,60000,87047.31
658,148000,154745.5
659,179000,153548.47
660,120000,119833.82
661,160000,209374.29
662,149000,155829.06
663,80000,63981.25
664,110000,138526.33
665,150000,161402.32
666,148000,173997.48
667,107000,110422.19
668,162000,151635.42
669,155000,188445.95
670,139000,142654.28
671,205000,211113.86
672,190000,194488.68
673,170000,166967.55
674,120000,129524.82
675,129000,114551.9
676,180000,153689.88
677,195000,167091.71
678,175000,141853.96
679,138000,152640.74
680,195000,147888.2
681,164000,149812.09
682,67000,122396.3
683,146000,151548.15
684,149000,152640.74
685,72000,85402.64
686,145000,166046.87
687,125000,167956.63
688,152000,163370.98
689,153000,168989.68
690,12000,139085.44
691,175000,161690.41
692,150000,149741.37
693,175000,180691.14
694,130000,124935.62
695,160000,184621.18
696,95000,58352.77
697,115000,115797.92
698,495000,391181.13
699,135000,139627.55
700,183000,159631.7
701,117000,166689.97
702,95000,116921.04
703,260000,173362.62
704,220000,225855.42
705,113000,106745.28
706,160000,153124.97
707,118000,119833.82
708,185000,166020.49
709,283000,254439.18
710,90000,98066.61
711,126000,135168.45
712,80000,104780.45
713,2e+05,199338.23
714,60000,74758.08
715,135000,143375.61
716,139000,160488.65
717,220000,198370.14
718,187000,149745.48
719,88000,110453.78
720,1e+05,105312.07
721,153000,147130.28
722,170000,167506.18
723,180000,195605.46
724,160000,154600.78
725,180000,193063
726,135000,153630.99
727,140000,134198.94
728,235000,173044.09
729,160000,165094.8
730,140000,148865.61
731,180000,176187.93
732,178000,182800.31
733,120000,97415
734,75000,103623.92
735,162000,161978.13
736,112000,124707.54
737,153000,168108.07
738,103000,108305.58
739,115000,118076.56
740,75000,51925.93
741,115000,124502.11
742,192000,197832.94
743,1e+05,160430.83
744,155000,239010.46
745,280000,183343.89
746,92000,136475.42
747,2e+05,165834.85
748,148000,156653.72
749,150000,122258.49
750,180000,162189.87
751,167000,179080.97
752,120000,127813.59
753,195000,184047.34
754,175000,194651.49
755,176000,141742.14
756,185000,191440.96
757,120000,132303.38
758,1e+05,107199.26
759,140000,150370.87
760,133000,124935.62
761,79000,104970.99
762,128000,139052.9
763,159000,149745.48
764,195000,156762.92
765,170000,94705.01
766,98000,90933.26
767,123000,123948.92
768,180000,154971.48
769,140000,127748.61
770,2e+05,166437.64
771,270000,180518.98
772,187000,131953.08
773,110000,111711.33
774,127000,151280.79
775,185000,174983.77
