ID,Base_salary,predictions
1,107000,129645.76
2,157000,168164.22
3,240000,177273.66
4,155000,179114.58
5,165000,160621.82
6,162000,160618.18
7,145000,142976.59
8,190000,142426.54
9,252000,174911.31
10,160000,174614.82
11,120000,127161.04
12,120000,120550.75
13,107000,115030.27
14,160000,172678.59
15,107000,134915.48
16,148000,167662.7
17,210000,190825.88
18,134000,152507.82
19,105000,56680.22
20,145000,157228.88
21,131000,118419.3
22,147000,135318.97
23,145000,151791.15
24,137000,156349.54
25,116000,129523.28
26,190000,203376.14
27,159000,135787.06
28,2e+05,154021.81
29,160000,173015.25
30,48000,59525.13
31,138000,172826.95
32,130000,121776.5
33,190000,153744.09
34,78000,80501.15
35,190000,182682.34
36,2e+05,172008.95
37,140000,132508.93
38,85000,125860.09
39,2e+05,172678.59
40,145000,150538.22
41,145000,154870.27
42,185000,181149.89
43,144000,153999.77
44,140000,155772.36
45,118000,116854.62
46,116000,116854.62
47,115000,126241.55
48,193000,189423.28
49,136000,184145.88
50,120000,156466.85
51,155000,172678.59
52,150000,131440.57
53,250000,211092.03
54,129000,125758.97
55,127000,138928.66
56,120000,116854.62
57,220000,186088.64
58,115000,128753.34
59,120000,126796
60,156000,150474.77
61,203000,159859.64
62,130000,114974.05
63,165000,184656.43
64,138000,142114.11
65,180000,173090.91
66,109000,119085
67,145000,173015.25
68,110000,160772.92
69,176000,158947.76
70,125000,125195.13
71,106000,116865.71
72,130000,143848.63
73,110000,111672.15
74,225000,211788.23
75,144000,142428.92
76,120000,122706.76
77,133000,166758.57
78,151000,169974.51
79,108000,161368.01
80,155000,164694.16
81,80000,92435.27
82,40000,55855.38
83,120000,126884.2
84,76000,90111.42
85,105000,107740.01
86,150000,188590.67
87,160000,167315.58
88,165000,106920.28
89,160000,170542.53
90,140000,140419.68
91,150000,135365.19
92,153000,146213.63
93,155000,178172.94
94,49000,46692.18
95,195000,218068.83
96,160000,145620.41
97,180000,136844.36
98,135000,135365.19
99,130000,185807.85
100,190000,211200.78
101,155000,165975.88
102,120000,121758.9
103,115000,164694.16
104,182000,177325.06
105,159000,147582.34
106,150000,167525.85
107,175000,138928.66
108,180000,154864.66
109,145000,160772.92
110,210000,189267.59
111,198000,182895.65
112,160000,176189.14
113,130000,134875.75
114,98000,130609.85
115,115000,135365.19
116,210000,208477.8
117,134000,126796
